"pre1";"p1";"score1";"pre2";"p2";"score2";"round";"tournament"
"120";"BC";"Roc~";2;;"BrianGun";0;"Losers Quarter-Final";"Koopa Armada"
"121";;"Vyse";0;"AD";"Afro";2;"Losers Quarter-Final";"Koopa Armada"
"122";;"Maleson";2;"DASH";"Zord";0;"Losers Quarter-Final";"Koopa Armada"
"123";"OwO";"RitsuoFox";0;"TSL";"Jab Air";2;"Losers Quarter-Final";"Koopa Armada"
"124";"DASH";"Sonic Orochi";0;"S6";"Abaca";2;"Losers Quarter-Final";"Koopa Armada"
"125";;"Elias";2;;"Burt<e3>o";0;"Losers Quarter-Final";"Koopa Armada"
"126";;"Dr. Lemos";0;;"gamer girl";2;"Winners Semi-Final";"Koopa Armada"
"127";;"Fakinha";0;;"Floko";2;"Winners Semi-Final";"Koopa Armada"
"128";;"Vyse";0;;"Cyber Twilight";2;"Winners Semi-Final";"Koopa Armada"
"129";;"Elias";0;"BenQ";"BeBop";2;"Winners Semi-Final";"Koopa Armada"
"130";"DASH";"Sonic Orochi";0;;"Sosser";2;"Winners Semi-Final";"Koopa Armada"
"131";"FDP";"Luffy";2;"BC";"Roc~";0;"Winners Semi-Final";"Koopa Armada"
"132";"UF";"Sabino";2;"OwO";"RitsuoFox";0;"Winners Semi-Final";"Koopa Armada"
"133";"UF";"Ultimate";2;;"Maleson";1;"Winners Semi-Final";"Koopa Armada"
"134";;"Elias";0;;"Roboto";3;"Losers Round 1";"Koopa Armada"
"135";"S6";"Abaca";3;"BC";"Roc~";0;"Losers Round 1";"Koopa Armada"
"136";"AD";"Afro";3;"TSL";"Jab Air";2;"Losers Round 1";"Koopa Armada"
"137";;"Cyber Twilight";3;;"Roboto";2;"Losers Round 2";"Koopa Armada"
"138";"UF";"Sabino";2;;"Maleson";3;"Losers Round 2";"Koopa Armada"
"139";;"Floko";1;"S6";"Abaca";3;"Losers Round 2";"Koopa Armada"
"140";"BenQ";"BeBop";3;"AD";"Afro";0;"Losers Round 2";"Koopa Armada"
