"pre1";"p1";"score1";"pre2";"p2";"score2";"round";"tournament"
"299";;"Dr. Lemos";1;"UF";"Sabino";3;"Winners Semi-Final";"Smash Heat 2"
"300";"BC";"RevoS";3;"BenQ";"BeBop";0;"Winners Semi-Final";"Smash Heat 2"
"301";"AD";"Roboto";3;"BenQ";"BeBop";1;"Losers Semi-Final";"Smash Heat 2"
"302";"UF";"Sabino";1;"AD";"Roboto";3;"Losers Final";"Smash Heat 2"
"303";"BC";"RevoS";3;"UF";"Sabino";0;"Winners Final";"Smash Heat 2"
"304";"BC";"RevoS";3;"AD";"Roboto";0;"Grand Final";"Smash Heat 2"
"305";;"Bach";1;;"Ihmo";2;"Winners Round 1";"Smash N' Magic"
"306";;"LUGIA";2;;"Kira";0;"Winners Round 1";"Smash N' Magic"
"307";;"Simic";2;"ROT";"FyFox";0;"Winners Round 1";"Smash N' Magic"
"308";"AD";"Pete";1;;"Raphael Vieitas";2;"Winners Round 1";"Smash N' Magic"
"309";"SD";"Drutar";0;"UF";"Oliveira";2;"Winners Round 1";"Smash N' Magic"
"310";;"JoJo Rama";0;;"Dottori";2;"Winners Round 1";"Smash N' Magic"
"311";;"Vlory";1;;"Snek";2;"Winners Round 1";"Smash N' Magic"
"312";;"Polon";2;;"ippo";0;"Winners Round 1";"Smash N' Magic"
"313";"MK";"MICK";0;"BC";"LeoDT";2;"Winners Round 1";"Smash N' Magic"
"314";"UF";"ChaosPrime";2;;"Arch";0;"Winners Round 1";"Smash N' Magic"
"315";;"Owlogy";0;;"Inu";2;"Winners Round 1";"Smash N' Magic"
"316";"AD";"Gim";2;;"FritzThe2";0;"Winners Round 1";"Smash N' Magic"
"317";;"Ozzy";2;;"Sandman";0;"Winners Round 1";"Smash N' Magic"
"318";;"Ryvius";0;;"RndNess";2;"Winners Round 1";"Smash N' Magic"
"319";;"Ramon";0;;"Haxwei";2;"Winners Round 1";"Smash N' Magic"
"320";"AD";"Floko";2;;"Alonso";0;"Winners Round 1";"Smash N' Magic"
"321";;"Decnop";0;;"Naty";2;"Winners Round 1";"Smash N' Magic"
"322";;"Magician";0;;"Ace";2;"Winners Round 1";"Smash N' Magic"
"323";;"S/Chance";2;;"IzZI127";0;"Winners Round 1";"Smash N' Magic"
"324";"UF";"Maleson";2;"Nikkity";"Considera";0;"Winners Round 1";"Smash N' Magic"
"325";"BC";"RoD";0;;"Unexpected";2;"Winners Round 1";"Smash N' Magic"
"326";;"FR7";1;;"DJ";2;"Winners Round 1";"Smash N' Magic"
"327";;"Bbrazils";1;;"Vallcrist";2;"Winners Round 1";"Smash N' Magic"
"328";"AD";"Pete";1;;"Bach";2;"Losers Round 1";"Smash N' Magic"
"329";;"JoJo Rama";0;;"Kira";2;"Losers Round 1";"Smash N' Magic"
"330";;"Vlory";0;"ROT";"FyFox";2;"Losers Round 1";"Smash N' Magic"
"331";;"Alonso";2;;"FritzThe2";0;"Losers Round 1";"Smash N' Magic"
"332";;"Magician";0;;"Ryvius";2;"Losers Round 1";"Smash N' Magic"
"333";;"IzZI127";0;;"Ramon";2;"Losers Round 1";"Smash N' Magic"
"334";;"Decnop";1;;"Sandman";2;"Losers Round 1";"Smash N' Magic"
"335";"UF";"Maleson";2;;"Bach";0;"Losers Round 2";"Smash N' Magic"
"336";;"DJ";2;;"Kira";0;"Losers Round 2";"Smash N' Magic"
"337";;"Vallcrist";1;"ROT";"FyFox";2;"Losers Round 2";"Smash N' Magic"
"338";"AD";"Gim";2;;"ippo";0;"Losers Round 2";"Smash N' Magic"
"339";;"RndNess";1;;"Arch";2;"Losers Round 2";"Smash N' Magic"
"340";;"S/Chance";2;;"Owlogy";0;"Losers Round 2";"Smash N' Magic"
"341";;"Polon";2;;"Alonso";0;"Losers Round 2";"Smash N' Magic"
"342";;"Unexpected";0;"SD";"Drutar";2;"Losers Round 2";"Smash N' Magic"
"343";"UF";"ChaosPrime";2;;"Ryvius";0;"Losers Round 2";"Smash N' Magic"
"344";;"Inu";0;;"Ramon";2;"Losers Round 2";"Smash N' Magic"
"345";;"Raphael Vieitas";0;"Nikkity";"Considera";2;"Losers Round 2";"Smash N' Magic"
"346";;"Naty";2;"MK";"MICK";0;"Losers Round 2";"Smash N' Magic"
"347";;"Dottori";0;;"FR7";2;"Losers Round 2";"Smash N' Magic"
"348";;"Snek";1;;"Bbrazils";2;"Losers Round 2";"Smash N' Magic"
"349";"BC";"LeoDT";2;;"Sandman";0;"Losers Round 2";"Smash N' Magic"
"350";"DSadvogado";"Joaoarara";2;"BC";"RoD";0;"Losers Round 2";"Smash N' Magic"
"351";;"Raphael Vieitas";0;;"Ihmo";2;"Winners Quarter-Final";"Smash N' Magic"
"352";;"Dottori";0;;"LUGIA";2;"Winners Quarter-Final";"Smash N' Magic"
"353";;"Snek";0;;"Simic";2;"Winners Quarter-Final";"Smash N' Magic"
"354";"BenQ";"BeBop";2;;"Polon";0;"Winners Quarter-Final";"Smash N' Magic"
"355";"DSadvogado";"Joaoarara";0;"UF";"Oliveira";2;"Winners Quarter-Final";"Smash N' Magic"
"356";"AD";"Afro";2;"UF";"ChaosPrime";0;"Winners Quarter-Final";"Smash N' Magic"
"357";"UF";"Ultimate";2;;"Inu";0;"Winners Quarter-Final";"Smash N' Magic"
"358";"AD";"Floko";2;"AD";"Gim";0;"Winners Quarter-Final";"Smash N' Magic"
"359";;"Cyber Twilight";2;"BC";"LeoDT";0;"Winners Quarter-Final";"Smash N' Magic"
"360";;"Ace";2;;"RndNess";0;"Winners Quarter-Final";"Smash N' Magic"
"361";;"S/Chance";0;;"Haxwei";2;"Winners Quarter-Final";"Smash N' Magic"
"362";"BC";"RevoS";2;"UF";"Maleson";0;"Winners Quarter-Final";"Smash N' Magic"
"363";;"Naty";0;;"Ozzy";2;"Winners Quarter-Final";"Smash N' Magic"
"364";"FDP";"Luffy";2;;"DJ";0;"Winners Quarter-Final";"Smash N' Magic"
"365";"AD";"Roboto";2;;"Vallcrist";0;"Winners Quarter-Final";"Smash N' Magic"
"366";"1uptg";"Sky";2;;"Unexpected";0;"Winners Quarter-Final";"Smash N' Magic"
"367";"AD";"Gim";0;"UF";"Maleson";2;"Losers Round 3";"Smash N' Magic"
"368";;"Arch";1;;"DJ";2;"Losers Round 3";"Smash N' Magic"
"369";;"S/Chance";2;"ROT";"FyFox";0;"Losers Round 3";"Smash N' Magic"
"370";"Nikkity";"Considera";1;;"Polon";2;"Losers Round 3";"Smash N' Magic"
"371";;"FR7";1;"UF";"ChaosPrime";2;"Losers Round 3";"Smash N' Magic"
"372";;"Bbrazils";1;;"Ramon";2;"Losers Round 3";"Smash N' Magic"
"373";;"Naty";0;"SD";"Drutar";2;"Losers Round 3";"Smash N' Magic"
"374";"DSadvogado";"Joaoarara";1;"BC";"LeoDT";2;"Losers Round 3";"Smash N' Magic"
"375";"BenQ";"BeBop";1;"UF";"Maleson";2;"Losers Quarter-Final";"Smash N' Magic"
"376";"AD";"Afro";0;;"DJ";2;"Losers Quarter-Final";"Smash N' Magic"
"377";;"Simic";0;;"S/Chance";2;"Losers Quarter-Final";"Smash N' Magic"
"378";"BC";"RevoS";2;;"Polon";0;"Losers Quarter-Final";"Smash N' Magic"
"379";;"Ace";1;"UF";"ChaosPrime";2;"Losers Quarter-Final";"Smash N' Magic"
"380";;"Haxwei";2;;"Ramon";1;"Losers Quarter-Final";"Smash N' Magic"
"381";"UF";"Oliveira";2;"SD";"Drutar";0;"Losers Quarter-Final";"Smash N' Magic"
"382";;"Ozzy";2;"BC";"LeoDT";0;"Losers Quarter-Final";"Smash N' Magic"
"383";"BenQ";"BeBop";1;;"Ihmo";2;"Winners Semi-Final";"Smash N' Magic"
"384";"AD";"Afro";0;;"LUGIA";2;"Winners Semi-Final";"Smash N' Magic"
"385";"UF";"Ultimate";2;;"Simic";0;"Winners Semi-Final";"Smash N' Magic"
"386";"BC";"RevoS";1;"AD";"Floko";2;"Winners Semi-Final";"Smash N' Magic"
"387";;"Cyber Twilight";2;"UF";"Oliveira";0;"Winners Semi-Final";"Smash N' Magic"
"388";"FDP";"Luffy";2;;"Ace";0;"Winners Semi-Final";"Smash N' Magic"
"389";"AD";"Roboto";2;;"Haxwei";0;"Winners Semi-Final";"Smash N' Magic"
"390";"1uptg";"Sky";2;;"Ozzy";0;"Winners Semi-Final";"Smash N' Magic"
"391";"UF";"Maleson";0;"UF";"ChaosPrime";2;"Losers Round 1";"Smash N' Magic"
"392";;"DJ";0;"BC";"RevoS";2;"Losers Round 1";"Smash N' Magic"
"393";;"S/Chance";2;;"Ozzy";0;"Losers Round 1";"Smash N' Magic"
"394";"UF";"Oliveira";2;;"Haxwei";1;"Losers Round 1";"Smash N' Magic"
"395";;"Cyber Twilight";2;"UF";"ChaosPrime";0;"Losers Round 2";"Smash N' Magic"
"396";"AD";"Roboto";0;"BC";"RevoS";2;"Losers Round 2";"Smash N' Magic"
"397";;"LUGIA";2;;"S/Chance";0;"Losers Round 2";"Smash N' Magic"
"398";;"Ihmo";1;"UF";"Oliveira";2;"Losers Round 2";"Smash N' Magic"
"399";"AD";"Floko";2;;"Ihmo";0;"Winners Quarter-Final";"Smash N' Magic"
"400";"FDP";"Luffy";2;;"LUGIA";1;"Winners Quarter-Final";"Smash N' Magic"
"401";"AD";"Roboto";1;"UF";"Ultimate";2;"Winners Quarter-Final";"Smash N' Magic"
"402";"1uptg";"Sky";2;;"Cyber Twilight";1;"Winners Quarter-Final";"Smash N' Magic"
"403";"BC";"RevoS";3;;"Cyber Twilight";0;"Losers Round 3";"Smash N' Magic"
"404";"UF";"Oliveira";0;;"LUGIA";3;"Losers Round 3";"Smash N' Magic"
"405";"AD";"Floko";0;"BC";"RevoS";3;"Losers Quarter-Final";"Smash N' Magic"
"406";"UF";"Ultimate";2;;"LUGIA";3;"Losers Quarter-Final";"Smash N' Magic"
"407";"FDP";"Luffy";3;"AD";"Floko";1;"Winners Semi-Final";"Smash N' Magic"
"408";"1uptg";"Sky";3;"UF";"Ultimate";1;"Winners Semi-Final";"Smash N' Magic"
"409";;"LUGIA";2;"BC";"RevoS";3;"Losers Semi-Final";"Smash N' Magic"
"410";"FDP";"Luffy";2;"BC";"RevoS";3;"Losers Final";"Smash N' Magic"
"411";"1uptg";"Sky";3;"FDP";"Luffy";2;"Winners Final";"Smash N' Magic"
"412";"1uptg";"Sky";3;"BC";"RevoS";0;"Grand Final";"Smash N' Magic"
"413";;"Naty";0;"TB";"Dr. NEF<c1>RIO";2;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"414";;"Sully";0;"TB";"GUCCI";2;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"415";;"S/Chance";2;;"Alonso";0;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"416";"TB";"Oops";2;;"Bach";0;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"417";;"Pova";0;"ROT";"FyFox";2;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"418";"UF";"ChaosPrime";1;"TB";"mysterE";2;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"419";;"Maycky";2;;"Ace";1;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"420";"TWS";"MICK";0;;"Wright";2;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"421";"SA";"Gim";2;"ROT";"Ozzy";0;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"422";;"Saiduke";2;"TB";"Caveira";0;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"423";;"Luckstorm";0;;"Haxwei";2;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"424";;"Owlogy";0;"TWS";"JBB";2;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"425";"TB";"Anal_utz";0;;"Simic";2;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"426";"PLG";"Golfinho";0;"UF";"Maleson";2;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"427";;"Bbrazils";1;"ROT";"Conker";2;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"428";;"Firinplinplin";2;;"FR7";0;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"429";;"Guizo";2;;"Lily";0;"Winners Round 1";"Smash N' Magic - 2nd Edition"
"430";"TB";"Anal_utz";0;"ROT";"Ozzy";2;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"431";"PLG";"Golfinho";2;"TB";"Caveira";0;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"432";;"Firinplinplin";0;;"Naty";2;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"433";;"Guizo";0;;"Sully";2;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"434";"SA";"Gim";2;;"Pova";0;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"435";;"Saiduke";1;"UF";"ChaosPrime";2;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"436";"ROT";"Conker";0;;"Alonso";2;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"437";;"Morkez";2;;"Bach";0;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"438";"ROT";"FyFox";0;"ROT";"Ozzy";2;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"439";;"Mimok";1;"PLG";"Golfinho";2;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"440";;"Polon";0;;"Ace";2;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"441";"TWS";"JBB";2;"TWS";"MICK";0;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"442";"AD";"Afro";2;;"FR7";0;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"443";"TB";"GUCCI";2;;"Lily";0;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"444";;"Maycky";0;;"Luckstorm";2;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"445";;"Wright";2;;"Owlogy";0;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"446";"TB";"Oops";2;;"Raphael Vieitas";0;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"447";;"S/Chance";2;;"Bbrazils";0;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"448";"AD";"Afro";1;"TB";"Dr. NEF<c1>RIO";2;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"449";;"Jo<e3>o Lagoas";2;"TB";"GUCCI";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"450";"1uptg";"Djudjo";2;;"S/Chance";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"451";"DSadv";"Joaoarara";2;"TB";"Oops";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"452";"BenQ";"BeBop";2;"ROT";"FyFox";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"453";;"Mimok";1;"TB";"mysterE";2;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"454";"AD";"Floko";2;;"Wright";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"455";"UF";"Ultimate";2;;"Maycky";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"456";;"Simic";2;"SA";"Gim";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"457";"UF";"Maleson";2;;"Saiduke";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"458";"AD";"Elias";2;"TWS";"JBB";1;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"459";;"Polon";0;;"Haxwei";2;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"460";"WasF";"Sky";2;;"Firinplinplin";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"461";"WasF";"RevoS";2;;"Guizo";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"462";"AD";"Roboto";2;"ROT";"Conker";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"463";"Suvinil";"Luffy";2;;"Morkez";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"464";"SA";"Gim";1;;"Naty";2;"Losers Round 3";"Smash N' Magic - 2nd Edition"
"465";"UF";"ChaosPrime";2;;"Sully";0;"Losers Round 3";"Smash N' Magic - 2nd Edition"
"466";"AD";"Afro";2;"ROT";"Ozzy";0;"Losers Round 3";"Smash N' Magic - 2nd Edition"
"467";"TB";"GUCCI";0;"PLG";"Golfinho";2;"Losers Round 3";"Smash N' Magic - 2nd Edition"
"468";;"Ace";2;;"Alonso";0;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"469";"TWS";"JBB";2;;"Morkez";1;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"470";;"S/Chance";2;;"Luckstorm";1;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"471";"TB";"Oops";1;;"Wright";2;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"472";"BenQ";"BeBop";2;;"Naty";0;"Losers Quarter-Final";"Smash N' Magic - 2nd Edition"
"473";"TB";"mysterE";0;"UF";"ChaosPrime";2;"Losers Quarter-Final";"Smash N' Magic - 2nd Edition"
"474";;"Simic";1;"AD";"Afro";2;"Losers Quarter-Final";"Smash N' Magic - 2nd Edition"
"475";"UF";"Maleson";1;"PLG";"Golfinho";2;"Losers Quarter-Final";"Smash N' Magic - 2nd Edition"
"476";"1uptg";"Djudjo";2;;"Ace";1;"Losers Quarter-Final";"Smash N' Magic - 2nd Edition"
"477";"DSadv";"Joaoarara";0;"TWS";"JBB";2;"Losers Quarter-Final";"Smash N' Magic - 2nd Edition"
"478";;"Haxwei";0;;"S/Chance";2;"Losers Quarter-Final";"Smash N' Magic - 2nd Edition"
"479";"AD";"Elias";2;;"Wright";0;"Losers Quarter-Final";"Smash N' Magic - 2nd Edition"
"480";"BenQ";"BeBop";0;"TB";"Dr. NEF<c1>RIO";2;"Winners Semi-Final";"Smash N' Magic - 2nd Edition"
"481";"TB";"mysterE";1;;"Jo<e3>o Lagoas";2;"Winners Semi-Final";"Smash N' Magic - 2nd Edition"
"482";"UF";"Ultimate";2;"1uptg";"Djudjo";0;"Winners Semi-Final";"Smash N' Magic - 2nd Edition"
"483";"AD";"Floko";2;"DSadv";"Joaoarara";0;"Winners Semi-Final";"Smash N' Magic - 2nd Edition"
"484";"WasF";"Sky";2;;"Simic";0;"Winners Semi-Final";"Smash N' Magic - 2nd Edition"
"485";"WasF";"RevoS";2;"UF";"Maleson";0;"Winners Semi-Final";"Smash N' Magic - 2nd Edition"
"486";"Suvinil";"Luffy";2;"AD";"Elias";0;"Winners Semi-Final";"Smash N' Magic - 2nd Edition"
"487";"AD";"Roboto";2;;"Haxwei";1;"Winners Semi-Final";"Smash N' Magic - 2nd Edition"
"488";"TWS";"JBB";0;"PLG";"Golfinho";2;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"489";"UF";"ChaosPrime";2;"AD";"Elias";1;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"490";"1uptg";"Djudjo";2;"AD";"Afro";1;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"491";"BenQ";"BeBop";0;;"S/Chance";2;"Losers Round 1";"Smash N' Magic - 2nd Edition"
"492";"TB";"Dr. NEF<c1>RIO";2;"PLG";"Golfinho";0;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"493";"AD";"Roboto";2;"UF";"ChaosPrime";0;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"494";;"Jo<e3>o Lagoas";2;"1uptg";"Djudjo";0;"Losers Round 2";"Smash N' Magic - 2nd Edition"
"495";"WasF";"RevoS";2;;"Jo<e3>o Lagoas";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"496";"AD";"Roboto";0;"UF";"Ultimate";2;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"497";"WasF";"Sky";2;"TB";"Dr. NEF<c1>RIO";0;"Winners Quarter-Final";"Smash N' Magic - 2nd Edition"
"498";"AD";"Roboto";3;"TB";"Dr. NEF<c1>RIO";0;"Losers Round 3";"Smash N' Magic - 2nd Edition"
"499";;"S/Chance";2;;"Jo<e3>o Lagoas";3;"Losers Round 3";"Smash N' Magic - 2nd Edition"
"500";"WasF";"RevoS";3;"AD";"Roboto";1;"Losers Quarter-Final";"Smash N' Magic - 2nd Edition"
"501";"WasF";"Sky";3;;"Jo<e3>o Lagoas";1;"Losers Quarter-Final";"Smash N' Magic - 2nd Edition"
"502";"WasF";"RevoS";0;"Suvinil";"Luffy";3;"Winners Semi-Final";"Smash N' Magic - 2nd Edition"
"503";"WasF";"Sky";2;"UF";"Ultimate";3;"Winners Semi-Final";"Smash N' Magic - 2nd Edition"
"504";"WasF";"Sky";0;"WasF";"RevoS";3;"Losers Semi-Final";"Smash N' Magic - 2nd Edition"
"505";"UF";"Ultimate";2;"WasF";"RevoS";3;"Losers Final";"Smash N' Magic - 2nd Edition"
"506";"UF";"Ultimate";0;"Suvinil";"Luffy";3;"Winners Final";"Smash N' Magic - 2nd Edition"
"507";"Suvinil";"Luffy";3;"WasF";"RevoS";0;"Grand Final";"Smash N' Magic - 2nd Edition"
"508";"UF";"Maleson";2;;"Rates";1;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"509";;"Flamon";0;;"FR7";2;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"510";"AD";"Elias";2;;"HeadBenzi";0;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"511";"UF";"Prime";2;"TWS";"MICK";0;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"512";;"LUGIA";2;;"Morkez";1;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"513";;"Sabino";2;;"Muju";1;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"514";"BC";"Amortaxx";2;;"DSK";0;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"515";;"Haxwei";2;;"ROT|Sully";0;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"516";;"Alonso";1;;"Ace";2;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"517";"UF";"Ultimate";2;;"Ozzy";0;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"518";"Suvinil";"Luffy";2;;"Bach";0;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"519";;"RevoS";2;;"Naval";1;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"520";"BenQ";"BeBop";2;;"HeadBenzi";0;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"521";;"Morkez";0;"TWS";"MICK";2;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"522";;"DSK";1;;"Rates";2;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"523";;"Muju";2;;"Flamon";0;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"524";"AD";"Roboto";2;;"Ihmo";1;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"525";;"Bach";0;;"ROT|Sully";2;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"526";;"Ozzy";0;;"Alonso";2;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"527";"BC";"RoD";1;"TWS";"MICK";2;"Losers Quarter-Final";"Smash Season Fest: Falling Leaves"
"528";;"Haxwei";2;;"Rates";0;"Losers Quarter-Final";"Smash Season Fest: Falling Leaves"
"529";;"S/Chance";2;"BenQ";"BeBop";0;"Losers Quarter-Final";"Smash Season Fest: Falling Leaves"
"530";;"Ace";0;;"Muju";2;"Losers Quarter-Final";"Smash Season Fest: Falling Leaves"
"531";"UF";"Prime";0;"AD";"Roboto";2;"Losers Quarter-Final";"Smash Season Fest: Falling Leaves"
"532";;"Luckstorm";0;;"Naval";2;"Losers Quarter-Final";"Smash Season Fest: Falling Leaves"
"533";"UF";"Maleson";2;;"ROT|Sully";0;"Losers Quarter-Final";"Smash Season Fest: Falling Leaves"
"534";;"FR7";2;;"Alonso";1;"Losers Quarter-Final";"Smash Season Fest: Falling Leaves"
"535";;"Luckstorm";0;"AD";"Elias";2;"Winners Semi-Final";"Smash Season Fest: Falling Leaves"
"536";;"LUGIA";2;"UF";"Prime";0;"Winners Semi-Final";"Smash Season Fest: Falling Leaves"
"537";"BC";"Amortaxx";2;"UF";"Maleson";1;"Winners Semi-Final";"Smash Season Fest: Falling Leaves"
"538";;"Sabino";2;;"FR7";0;"Winners Semi-Final";"Smash Season Fest: Falling Leaves"
"539";"BC";"RoD";0;"SA";"Arch";2;"Winners Semi-Final";"Smash Season Fest: Falling Leaves"
"540";"Suvinil";"Luffy";2;;"Haxwei";0;"Winners Semi-Final";"Smash Season Fest: Falling Leaves"
"541";;"RevoS";2;;"S/Chance";1;"Winners Semi-Final";"Smash Season Fest: Falling Leaves"
"542";"UF";"Ultimate";2;;"Ace";0;"Winners Semi-Final";"Smash Season Fest: Falling Leaves"
"543";"UF";"Maleson";2;"TWS";"MICK";0;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"544";"AD";"Roboto";1;;"Haxwei";2;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"545";;"FR7";0;;"S/Chance";2;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"546";;"Naval";2;;"Muju";1;"Losers Round 1";"Smash Season Fest: Falling Leaves"
"547";"AD";"Elias";0;"UF";"Maleson";2;"Losers Round 2";"Smash Season Fest: Falling Leaves"
"548";"UF";"Ultimate";2;;"Haxwei";0;"Losers Round 2";"Smash Season Fest: Falling Leaves"
"549";"SA";"Arch";2;;"S/Chance";0;"Losers Round 2";"Smash Season Fest: Falling Leaves"
"550";"BC";"Amortaxx";2;;"Naval";1;"Losers Round 2";"Smash Season Fest: Falling Leaves"
"551";"Suvinil";"Luffy";2;"BC";"Amortaxx";0;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"552";"SA";"Arch";0;;"LUGIA";2;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"553";"UF";"Ultimate";1;;"Sabino";2;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"554";;"RevoS";2;"AD";"Elias";0;"Winners Quarter-Final";"Smash Season Fest: Falling Leaves"
"555";"UF";"Ultimate";3;"UF";"Maleson";1;"Losers Round 3";"Smash Season Fest: Falling Leaves"
"556";"BC";"Amortaxx";3;"SA";"Arch";0;"Losers Round 3";"Smash Season Fest: Falling Leaves"
"557";;"LUGIA";1;"UF";"Ultimate";3;"Losers Quarter-Final";"Smash Season Fest: Falling Leaves"
"558";;"Sabino";3;"BC";"Amortaxx";1;"Losers Quarter-Final";"Smash Season Fest: Falling Leaves"
"559";;"LUGIA";0;"Suvinil";"Luffy";3;"Winners Semi-Final";"Smash Season Fest: Falling Leaves"
"560";;"RevoS";3;;"Sabino";0;"Winners Semi-Final";"Smash Season Fest: Falling Leaves"
"561";;"Sabino";1;"UF";"Ultimate";3;"Losers Semi-Final";"Smash Season Fest: Falling Leaves"
"562";;"RevoS";2;"UF";"Ultimate";3;"Losers Final";"Smash Season Fest: Falling Leaves"
"563";;"RevoS";0;"Suvinil";"Luffy";3;"Winners Final";"Smash Season Fest: Falling Leaves"
"564";"Suvinil";"Luffy";3;"UF";"Ultimate";1;"Grand Final";"Smash Season Fest: Falling Leaves"
"565";;"FR7";0;;"Anubis570";2;"Winners Round 1";"Twilight's Awakening"
"566";;"RoD";2;;"D4C";0;"Winners Round 1";"Twilight's Awakening"
"567";;"Strig";0;;"Miguelindo";2;"Winners Round 1";"Twilight's Awakening"
"568";;"FyFox";2;;"GUCCI";1;"Winners Round 1";"Twilight's Awakening"
"569";;"Magician";2;;"kiNg";0;"Winners Round 1";"Twilight's Awakening"
"570";"TB";"Chino";2;"SA";"Gim";0;"Winners Round 1";"Twilight's Awakening"
"571";;"mysterE";2;;"D4C";0;"Losers Round 1";"Twilight's Awakening"
"572";;"Joaoarara";2;;"Strig";0;"Losers Round 1";"Twilight's Awakening"
