"player","elo","set_wins","total_sets","set_perc","game_wins","total_games","game_perc","tournaments","list_tournaments","old_elo","var_elo"
"ChaosPrime",1518.2418522242,19,35,0.542857142857143,42,80,0.525,8,"Smash Heat 2, Smash N' Magic, Smash N' Magic - 2nd Edition, Twilight's Awakening, Smash N' Magic - 3rd Edition, Battle Of Hyrule, Smash n' Magic - 4th Edition, Smash n' Magic - 5th Edition",1518.2418522242,0
"Jao",1516.99585251767,4,10,0.4,14,26,0.538461538461538,3,"Smash Season Fest: Smash Heat, Smash n' Magic - 4th Edition, Smash N' Magic - 3rd Edition",1516.99585251767,0
"Muju",1514.30590159744,2,4,0.5,6,10,0.6,1,"Smash Season Fest: Falling Leaves",1514.30590159744,0
"LeoDT",1513.81657490978,7,13,0.538461538461538,16,30,0.533333333333333,3,"Smash Season Fest: Smash Heat, Smash Heat 2, Smash N' Magic",1513.81657490978,0
"FullMoon",1513.49802901263,2,4,0.5,6,10,0.6,1,"Koopa Armada",1513.49802901263,0
"Ramon",1511.14523407986,3,5,0.6,7,12,0.583333333333333,1,"Smash N' Magic",1511.14523407986,0
"Jaycee",1510.90262085501,3,5,0.6,6,10,0.6,1,"Fight in Rio for the Future",1510.90262085501,0
"MiniGoku",1510.1855624341,3,5,0.6,7,12,0.583333333333333,1,"Koopa Armada",1510.1855624341,0
"Moonflair",1510.16048754249,3,5,0.6,7,12,0.583333333333333,1,"Koopa Armada",1510.16048754249,0
"Fakinha",1509.72745861309,5,9,0.555555555555556,11,20,0.55,2,"Koopa Armada, Smash Season Fest: Smash Heat",1509.72745861309,0
"BrianGun",1509.52800814071,3,5,0.6,7,12,0.583333333333333,1,"Koopa Armada",1509.52800814071,0
"Tuca",1508.49142353488,2,4,0.5,5,9,0.555555555555556,1,"Fight in Rio for the Future",1508.49142353488,0
"Leso",1506.11033470616,2,4,0.5,5,9,0.555555555555556,1,"Koopa Armada",1506.11033470616,0
"Prolo",1505.72162945967,2,4,0.5,5,9,0.555555555555556,1,"Koopa Armada",1505.72162945967,0
"Ace",1505.10045357271,18,38,0.473684210526316,42,84,0.5,10,"Smash Season Fest: Smash Heat, Smash N' Magic, Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Battle Of Hyrule, Smash n' Magic - 4th Edition, Smash n' Magic - 5th Edition, Smash Heat 2",1505.10045357271,0
"Alonso",1504.97321393013,9,20,0.45,21,43,0.488372093023256,6,"Smash Heat 2, Smash N' Magic, Smash Season Fest: Falling Leaves, Smash N' Magic - 3rd Edition, Battle Of Hyrule, Smash N' Magic - 2nd Edition",1504.97321393013,0
"Zord",1504.31274559285,3,5,0.6,6,11,0.545454545454545,1,"Koopa Armada",1504.31274559285,0
"Minus",1503.8362132442,5,9,0.555555555555556,12,23,0.521739130434783,2,"Smash Season Fest: Smash Heat, Smash n' Magic - 4th Edition",1503.8362132442,0
"Proliel",1503.81467754325,5,11,0.454545454545455,12,26,0.461538461538462,3,"Fight in Rio for the Future, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #1",1503.81467754325,0
"BrunoLana",1503.4980320517,1,3,0.333333333333333,4,8,0.5,1,"Koopa Armada",1503.4980320517,0
"Burtão",1502.82320668986,9,17,0.529411764705882,20,38,0.526315789473684,4,"Koopa Armada, Smash Season Fest: Smash Heat, Smash Heat 2, Try Hard Smash in Rio #2",1502.82320668986,0
"Sonic Orochi",1500.72958355565,2,4,0.5,4,8,0.5,1,"Koopa Armada",1500.72958355565,0
"Drutar",1500.64593115784,2,4,0.5,4,8,0.5,1,"Smash N' Magic",1500.64593115784,0
"JBB",1500.24321718761,7,13,0.538461538461538,15,29,0.517241379310345,3,"Smash N' Magic - 2nd Edition, Twilight's Awakening, Battle Of Hyrule",1500.24321718761,0
"SKPeter",1500.1092575689,2,4,0.5,4,8,0.5,1,"Koopa Armada",1500.1092575689,0
"Daftmind",1499.44083164636,2,4,0.5,4,8,0.5,1,"Koopa Armada",1499.44083164636,0
"Quantumleaper NEO",1499.44082535312,2,4,0.5,4,8,0.5,1,"Koopa Armada",1499.44082535312,0
"chapeudopresto",1499.36145567035,2,4,0.5,4,8,0.5,1,"Koopa Armada",1499.36145567035,0
"Nenfz",1498.4573138222,5,9,0.555555555555556,11,22,0.5,2,"Fight in Rio for the Future, Battle Of Hyrule",1498.4573138222,0
"Chadin",1498.06549944071,2,4,0.5,5,10,0.5,1,"Battle Of Hyrule",1498.06549944071,0
"Saiduke",1497.82081352731,1,3,0.333333333333333,3,7,0.428571428571429,1,"Smash N' Magic - 2nd Edition",1497.82081352731,0
"Ditro",1496.66666666667,0,1,0,1,3,0.333333333333333,1,"Smash Season Fest: Smash Heat",1496.66666666667,0
"Neoob",1496.66666666667,0,1,0,1,3,0.333333333333333,1,"Koopa Armada",1496.66666666667,0
"Renault",1496.66666666667,0,1,0,1,3,0.333333333333333,1,"Koopa Armada",1496.66666666667,0
"Pe de Moleque",1496.66666666667,0,1,0,1,3,0.333333333333333,1,"Koopa Armada",1496.66666666667,0
"Dr. Lemos",1496.47582129785,5,11,0.454545454545455,12,27,0.444444444444444,3,"Koopa Armada, Smash Season Fest: Smash Heat, Smash Heat 2",1496.47582129785,0
"Firinplinplin",1495.24202198255,2,6,0.333333333333333,5,13,0.384615384615385,2,"Smash N' Magic - 2nd Edition, Twilight's Awakening",1495.24202198255,0
"test",1495.16613391668,2,3,0.666666666666667,4,8,0.5,1,"Smash N' Magic - 3rd Edition",1495.16613391668,0
"Prime",1495.0530315921,4,8,0.5,8,18,0.444444444444444,2,"Smash Season Fest: Smash Heat, Smash Season Fest: Falling Leaves",1495.0530315921,0
"Lucas Portes",1494.96145012419,1,3,0.333333333333333,2,6,0.333333333333333,1,"Fight in Rio for the Future",1494.96145012419,0
"Nyer",1494.48570546858,0,2,0,2,6,0.333333333333333,1,"Fight in Rio for the Future",1494.48570546858,0
"Maycky",1493.40496844612,4,8,0.5,9,19,0.473684210526316,2,"Koopa Armada, Smash N' Magic - 2nd Edition",1493.40496844612,0
"Dark Fox",1493.38881720181,2,4,0.5,4,9,0.444444444444444,1,"Smash n' Magic - 4th Edition",1493.38881720181,0
"Dethnerv",1493.33017468815,2,4,0.5,4,9,0.444444444444444,1,"Koopa Armada",1493.33017468815,0
"Drei",1493.24520729482,2,4,0.5,4,9,0.444444444444444,1,"Koopa Armada",1493.24520729482,0
"Vallcrist",1492.97625070415,1,3,0.333333333333333,3,8,0.375,1,"Smash N' Magic",1492.97625070415,0
"Unexpected",1492.93743287875,1,3,0.333333333333333,2,6,0.333333333333333,1,"Smash N' Magic",1492.93743287875,0
"CebolaTostada",1492.86022466391,1,3,0.333333333333333,3,7,0.428571428571429,1,"TwS - Forest Temple",1500,-7.13977533609477
"Alunir",1492.72737635411,1,3,0.333333333333333,2,6,0.333333333333333,1,"Fight in Rio for the Future",1492.72737635411,0
"Botrek",1491.85407538913,1,3,0.333333333333333,2,6,0.333333333333333,1,"Smash n' Magic - 5th Edition",1491.85407538913,0
"Inu",1490.85016685795,2,6,0.333333333333333,5,13,0.384615384615385,2,"Smash N' Magic, Fight in Rio for the Future",1490.85016685795,0
"Neptune",1490.17830014681,1,3,0.333333333333333,2,6,0.333333333333333,1,"Koopa Armada",1490.17830014681,0
"Korn",1490.02475935002,1,3,0.333333333333333,2,6,0.333333333333333,1,"Koopa Armada",1490.02475935002,0
"Danny",1490,0,1,0,0,2,0,1,"Koopa Armada",1490,0
"Dcay",1490,0,1,0,0,2,0,1,"Smash Season Fest: Smash Heat",1490,0
"Aisengobay",1490,0,1,0,0,2,0,1,"Koopa Armada",1490,0
"Thiago Neoob",1490,0,1,0,0,2,0,1,"Koopa Armada",1490,0
"P.Vicious",1489.9968244535,1,3,0.333333333333333,3,8,0.375,1,"Smash N' Magic - 3rd Edition",1489.9968244535,0
"Kira",1489.97801081993,1,3,0.333333333333333,2,6,0.333333333333333,1,"Smash N' Magic",1489.97801081993,0
"Messias",1489.8958775989,1,3,0.333333333333333,3,8,0.375,1,"Koopa Armada",1489.8958775989,0
"Luij",1489.80275349603,1,3,0.333333333333333,2,6,0.333333333333333,1,"Koopa Armada",1489.80275349603,0
"Rhunii",1489.74941490818,5,13,0.384615384615385,13,29,0.448275862068966,4,"Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Smash n' Magic - 4th Edition, Smash n' Magic - 5th Edition",1489.74941490818,0
"HeadBenzi",1489.55757510549,4,10,0.4,9,21,0.428571428571429,3,"Smash Season Fest: Smash Heat, Smash Heat 2, Smash Season Fest: Falling Leaves",1489.55757510549,0
"JackEvil",1489.53367763569,0,1,0,0,2,0,1,"Smash n' Magic - 4th Edition",1489.53367763569,0
"Ryvius",1489.50029952288,1,3,0.333333333333333,2,6,0.333333333333333,1,"Smash N' Magic",1489.50029952288,0
"Dottori",1489.49418812394,1,3,0.333333333333333,2,6,0.333333333333333,1,"Smash N' Magic",1489.49418812394,0
"Kai",1488.28737020096,0,1,0,0,2,0,1,"Smash n' Magic - 4th Edition",1488.28737020096,0
"Lance",1488.13301887289,0,2,0,1,5,0.2,1,"Smash Heat 2",1488.13301887289,0
"mega",1487.87262649138,1,3,0.333333333333333,2,6,0.333333333333333,1,"Smash n' Magic - 5th Edition",1487.87262649138,0
"Oops",1487.85497681944,2,6,0.333333333333333,5,13,0.384615384615385,2,"Smash N' Magic - 2nd Edition, Try Hard Smash in Rio #2",1487.85497681944,0
"Simic",1487.65195063797,4,12,0.333333333333333,10,26,0.384615384615385,4,"Smash Season Fest: Smash Heat, Smash Heat 2, Smash N' Magic, Smash N' Magic - 2nd Edition",1487.65195063797,0
"RndNess",1487.48108585828,2,6,0.333333333333333,6,15,0.4,2,"Smash Season Fest: Smash Heat, Smash N' Magic",1487.48108585828,0
