"p1","score1","p2","score2","completed","tournament","first_to"
"RndNess",1,"Arch",2,1552844593,"Smash N' Magic",2
"Cyber Twilight",2,"Naval",0,1552844668,"Smash N' Magic",2
"Afro",0,"LUGIA",2,1552845088,"Smash N' Magic",2
"Luffy",2,"Ace",0,1552845136,"Smash N' Magic",2
"FR7",1,"ChaosPrime",2,1552845359,"Smash N' Magic",2
"Ozzy",2,"LeoDT",0,1552845549,"Smash N' Magic",2
"RevoS",1,"Floko",2,1552845749,"Smash N' Magic",2
"BeBop",1,"Ihmo",2,1552845874,"Smash N' Magic",2
"Gim",0,"Maleson",2,1552846018,"Smash N' Magic",2
"Arch",1,"DJ",2,1552846128,"Smash N' Magic",2
"Roboto",2,"Haxwei",0,1552846419,"Smash N' Magic",2
"Ultimate",2,"Simic",0,1552846483,"Smash N' Magic",2
"Considera",1,"Polon",2,1552846508,"Smash N' Magic",2
"Afro",0,"DJ",2,1552846753,"Smash N' Magic",2
"S/Chance",2,"Fy",0,1552847159,"Smash N' Magic",2
"Bbrazils",1,"Ramon",2,1552847173,"Smash N' Magic",2
"Ace",1,"ChaosPrime",2,1552847397,"Smash N' Magic",2
"RevoS",2,"Polon",0,1552847504,"Smash N' Magic",2
"BeBop",1,"Maleson",2,1552847520,"Smash N' Magic",2
"Simic",0,"S/Chance",2,1552847894,"Smash N' Magic",2
"Naval",2,"Drutar",0,1552847925,"Smash N' Magic",2
"Haxwei",2,"Ramon",1,1552848324,"Smash N' Magic",2
"S/Chance",2,"Ozzy",0,1552851192,"Smash N' Magic",2
"Maleson",0,"ChaosPrime",2,1552851353,"Smash N' Magic",2
"DJ",0,"RevoS",2,1552851365,"Smash N' Magic",2
"Naval",2,"Haxwei",1,1552851943,"Smash N' Magic",2
"Sky",2,"Cyber Twilight",1,1552852102,"Smash N' Magic",2
"Floko",2,"Ihmo",0,1552852251,"Smash N' Magic",2
"Roboto",1,"Ultimate",2,1552852606,"Smash N' Magic",2
"Cyber Twilight",2,"ChaosPrime",0,1552852995,"Smash N' Magic",2
"Luffy",2,"LUGIA",1,1552853193,"Smash N' Magic",2
"Roboto",0,"RevoS",2,1552853358,"Smash N' Magic",2
"Ihmo",1,"Naval",2,1552853455,"Smash N' Magic",2
"LUGIA",2,"S/Chance",0,1552853900,"Smash N' Magic",2
"Luffy",3,"Floko",1,1552854676,"Smash N' Magic",3
"Sky",3,"Ultimate",1,1552854777,"Smash N' Magic",3
"Naval",0,"LUGIA",3,1552855172,"Smash N' Magic",3
"RevoS",3,"Cyber Twilight",0,1552855451,"Smash N' Magic",3
"Ultimate",2,"LUGIA",3,1552856806,"Smash N' Magic",3
"Floko",0,"RevoS",3,1552856960,"Smash N' Magic",3
"Sky",3,"Luffy",2,1552858247,"Smash N' Magic",3
"LUGIA",2,"RevoS",3,1552858697,"Smash N' Magic",3
"Luffy",2,"RevoS",3,1552860706,"Smash N' Magic",3
"Sky",3,"RevoS",0,1552862516,"Smash N' Magic",3
"FireEmblem",2,"FR7",0,1558276839,"Smash N' Magic - 2nd Edition",2
"Guizo",2,"Lily",0,1558277520,"Smash N' Magic - 2nd Edition",2
"Anal_utz",0,"Simic",2,1558277593,"Smash N' Magic - 2nd Edition",2
"Owlogy",0,"JBB",2,1558277764,"Smash N' Magic - 2nd Edition",2
"Pova",0,"Fy",2,1558277970,"Smash N' Magic - 2nd Edition",2
"Golfinho",0,"Maleson",2,1558278145,"Smash N' Magic - 2nd Edition",2
"Bbrazils",1,"Conker",2,1558278362,"Smash N' Magic - 2nd Edition",2
"Saiduke",2,"Caveira",0,1558278694,"Smash N' Magic - 2nd Edition",2
"Mick",0,"Wright",2,1558278851,"Smash N' Magic - 2nd Edition",2
"Luckstorm",0,"Haxwei",2,1558278912,"Smash N' Magic - 2nd Edition",2
"Oops",2,"Bach",0,1558279081,"Smash N' Magic - 2nd Edition",2
"Gim",2,"Ozzy",0,1558279469,"Smash N' Magic - 2nd Edition",2
"Maycky",2,"Ace",1,1558279670,"Smash N' Magic - 2nd Edition",2
"Naty",0,"Chino",2,1558279736,"Smash N' Magic - 2nd Edition",2
"S/Chance",2,"Alonso",0,1558279885,"Smash N' Magic - 2nd Edition",2
"Sully",0,"GUCCI",2,1558280179,"Smash N' Magic - 2nd Edition",2
"ChaosPrime",1,"mysterE",2,1558280190,"Smash N' Magic - 2nd Edition",2
"Luffy",2,"Morkez",0,1558280452,"Smash N' Magic - 2nd Edition",2
"Sky",2,"FireEmblem",0,1558280601,"Smash N' Magic - 2nd Edition",2
"RevoS",2,"Guizo",0,1558280624,"Smash N' Magic - 2nd Edition",2
"Polon",0,"Haxwei",2,1558280760,"Smash N' Magic - 2nd Edition",2
"Maleson",2,"Saiduke",0,1558280962,"Smash N' Magic - 2nd Edition",2
"Roboto",2,"Conker",0,1558280994,"Smash N' Magic - 2nd Edition",2
"Simic",2,"Gim",0,1558281130,"Smash N' Magic - 2nd Edition",2
"Ultimate",2,"Maycky",0,1558281413,"Smash N' Magic - 2nd Edition",2
"Floko",2,"Wright",0,1558281728,"Smash N' Magic - 2nd Edition",2
"BeBop",2,"Fy",0,1558281837,"Smash N' Magic - 2nd Edition",2
"Elias",2,"JBB",1,1558281912,"Smash N' Magic - 2nd Edition",2
"Djudjo",2,"S/Chance",0,1558282059,"Smash N' Magic - 2nd Edition",2
"Mimok",1,"mysterE",2,1558282127,"Smash N' Magic - 2nd Edition",2
"Afro",1,"Chino",2,1558282780,"Smash N' Magic - 2nd Edition",2
"João Lagoas",2,"GUCCI",0,1558282946,"Smash N' Magic - 2nd Edition",2
"Joaoarara",2,"Oops",0,1558282959,"Smash N' Magic - 2nd Edition",2
"Oops",2,"Raphael Vieitas",0,1558286499,"Smash N' Magic - 2nd Edition",2
"S/Chance",2,"Bbrazils",0,1558286556,"Smash N' Magic - 2nd Edition",2
"Polon",0,"Ace",2,1558286566,"Smash N' Magic - 2nd Edition",2
"GUCCI",2,"Lily",0,1558286784,"Smash N' Magic - 2nd Edition",2
"Afro",2,"FR7",0,1558286854,"Smash N' Magic - 2nd Edition",2
"Gim",2,"Pova",0,1558286890,"Smash N' Magic - 2nd Edition",2
"Wright",2,"Owlogy",0,1558287134,"Smash N' Magic - 2nd Edition",2
"Maycky",0,"Luckstorm",2,1558287155,"Smash N' Magic - 2nd Edition",2
"Golfinho",2,"Caveira",0,1558287230,"Smash N' Magic - 2nd Edition",2
"FireEmblem",0,"Naty",2,1558287851,"Smash N' Magic - 2nd Edition",2
"Conker",0,"Alonso",2,1558287949,"Smash N' Magic - 2nd Edition",2
"Saiduke",1,"ChaosPrime",2,1558287977,"Smash N' Magic - 2nd Edition",2
"Anal_utz",0,"Ozzy",2,1558288167,"Smash N' Magic - 2nd Edition",2
"Guizo",0,"Sully",2,1558288734,"Smash N' Magic - 2nd Edition",2
"Morkez",2,"Bach",0,1558288841,"Smash N' Magic - 2nd Edition",2
"Mimok",1,"Golfinho",2,1558288973,"Smash N' Magic - 2nd Edition",2
"JBB",2,"Mick",0,1558288996,"Smash N' Magic - 2nd Edition",2
"S/Chance",2,"Luckstorm",1,1558289172,"Smash N' Magic - 2nd Edition",2
"Fy",0,"Ozzy",2,1558289631,"Smash N' Magic - 2nd Edition",2
"Ace",2,"Alonso",0,1558289718,"Smash N' Magic - 2nd Edition",2
"JBB",2,"Morkez",1,1558289838,"Smash N' Magic - 2nd Edition",2
"Oops",1,"Wright",2,1558289849,"Smash N' Magic - 2nd Edition",2
"Sky",2,"Simic",0,1558290080,"Smash N' Magic - 2nd Edition",2
"BeBop",0,"Chino",2,1558290430,"Smash N' Magic - 2nd Edition",2
"RevoS",2,"Maleson",0,1558290479,"Smash N' Magic - 2nd Edition",2
"Floko",2,"Joaoarara",0,1558290733,"Smash N' Magic - 2nd Edition",2
"Luffy",2,"Elias",0,1558290844,"Smash N' Magic - 2nd Edition",2
"mysterE",1,"João Lagoas",2,1558291041,"Smash N' Magic - 2nd Edition",2
"Ultimate",2,"Djudjo",0,1558291258,"Smash N' Magic - 2nd Edition",2
"Elias",2,"Wright",0,1558291584,"Smash N' Magic - 2nd Edition",2
"Roboto",2,"Haxwei",1,1558291623,"Smash N' Magic - 2nd Edition",2
"GUCCI",0,"Golfinho",2,1558291657,"Smash N' Magic - 2nd Edition",2
"Gim",1,"Naty",2,1558292179,"Smash N' Magic - 2nd Edition",2
"Afro",2,"Ozzy",0,1558292384,"Smash N' Magic - 2nd Edition",2
"ChaosPrime",2,"Sully",0,1558292531,"Smash N' Magic - 2nd Edition",2
"Haxwei",0,"S/Chance",2,1558292752,"Smash N' Magic - 2nd Edition",2
"Joaoarara",0,"JBB",2,1558292877,"Smash N' Magic - 2nd Edition",2
"Djudjo",2,"Ace",1,1558293129,"Smash N' Magic - 2nd Edition",2
"Simic",1,"Afro",2,1558293505,"Smash N' Magic - 2nd Edition",2
"mysterE",0,"ChaosPrime",2,1558293590,"Smash N' Magic - 2nd Edition",2
"BeBop",2,"Naty",0,1558293717,"Smash N' Magic - 2nd Edition",2
"Maleson",1,"Golfinho",2,1558293767,"Smash N' Magic - 2nd Edition",2
"Roboto",0,"Ultimate",2,1558294746,"Smash N' Magic - 2nd Edition",2
"BeBop",0,"S/Chance",2,1558294811,"Smash N' Magic - 2nd Edition",2
"Djudjo",2,"Afro",1,1558295165,"Smash N' Magic - 2nd Edition",2
"JBB",0,"Golfinho",2,1558295226,"Smash N' Magic - 2nd Edition",2
"ChaosPrime",2,"Elias",1,1558295577,"Smash N' Magic - 2nd Edition",2
"Sky",2,"Chino",0,1558295797,"Smash N' Magic - 2nd Edition",2
"RevoS",2,"João Lagoas",0,1558295920,"Smash N' Magic - 2nd Edition",2
"Roboto",2,"ChaosPrime",0,1558296201,"Smash N' Magic - 2nd Edition",2
