"p1","p2","sets","set_wins_p1","set_wins_p2","game_wins_p1","game_wins_p2","tournaments"
"Luffy","RevoS",13,12,1,38,7,"Smash N' Magic, Smash N' Magic - 2nd Edition, Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves, Twilight's Awakening, Try Hard Smash in Rio #1, Try Hard Smash in Rio #1, TwS - Forest Temple, TwS - Forest Temple, Set Fire 3, Set Fire 3, TwS - Fire Temple, TwS - Fire Temple"
"RevoS","Ultimate",12,10,2,32,14,"Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves, Try Hard Smash in Rio #1, Try Hard Smash in Rio #1, Try Hard Smash in Rio #2, Try Hard Smash in Rio #2, TwS - Forest Temple, TwS - Forest Temple, Try Hard Smash in Rio #3, Try Hard Smash in Rio #3, Try Hard Smash in Rio #3, Try Hard Smash in Rio #5"
"RevoS","Sabino",8,8,0,21,3,"Smash Heat 2, Smash Season Fest: Falling Leaves, Battle Of Hyrule, Smash n' Magic - 5th Edition, Smash n' Magic - 5th Edition, TwS - Forest Temple, Set Fire 3, TwS - Fire Temple"
"Sky","Ultimate",8,6,2,19,10,"Koopa Armada, Smash Season Fest: Smash Heat, Smash N' Magic, Smash N' Magic - 2nd Edition, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Smash n' Magic - 5th Edition, TwS - Forest Temple"
"Amortax","Ultimate",7,2,5,8,14,"Smash Season Fest: Smash Heat, Smash Heat 2, Try Hard Smash in Rio #1, Try Hard Smash in Rio #2, TwS - Forest Temple, Try Hard Smash in Rio #5, Try Hard Smash in Rio #5"
"Ihmo","RevoS",6,0,6,4,15,"Try Hard Smash in Rio #1, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #3, Try Hard Smash in Rio #4, Set Fire 3, Try Hard Smash in Rio #5"
"Luffy","LUGIA",6,6,0,17,3,"Smash N' Magic, Smash Season Fest: Falling Leaves, Twilight's Awakening, Battle Of Hyrule, Smash n' Magic - 4th Edition, Smash n' Magic - 4th Edition"
"Luffy","Sky",6,3,3,12,11,"Koopa Armada, Koopa Armada, Smash N' Magic, Battle Of Hyrule, Smash n' Magic - 5th Edition, Smash n' Magic - 5th Edition"
"RevoS","Sky",6,3,3,12,10,"Smash N' Magic, Smash N' Magic - 2nd Edition, Smash N' Magic - 3rd Edition, Smash n' Magic - 5th Edition, Smash n' Magic - 5th Edition, TwS - Fire Temple"
"Afro","FireEmblem",5,3,2,7,8,"Twilight's Awakening, Smash N' Magic - 3rd Edition, TORNEIO LEGAL, Beer Reversal #12 - Primeiro de 2020!, Beer Reversal #12 - Primeiro de 2020!"
"Afro","Ozzy",5,5,0,10,1,"Koopa Armada, Smash Season Fest: Smash Heat, Smash N' Magic - 2nd Edition, Twilight's Awakening, Set Fire 3"
"Amortax","Haxwei",5,4,1,9,5,"Smash Season Fest: Smash Heat, Try Hard Smash in Rio #1, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #2, Try Hard Smash in Rio #5"
"FireEmblem","Haxwei",5,3,2,10,7,"TORNEIO LEGAL, Try Hard Smash in Rio #4, Try Hard Smash in Rio #4, TwS - Fire Temple, Beer Reversal #12 - Primeiro de 2020!"
"Haxwei","Ihmo",5,3,2,8,6,"Try Hard Smash in Rio #1, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #3, Try Hard Smash in Rio #4, Try Hard Smash in Rio #5"
"Ihmo","Mimok",5,1,4,5,10,"Fight in Rio for the Future, Fight in Rio for the Future, Try Hard Smash in Rio #1, TwS - Forest Temple, Set Fire 3"
"LUGIA","RevoS",5,2,3,8,11,"Smash Heat 2, Smash N' Magic, Twilight's Awakening, Twilight's Awakening, Battle Of Hyrule"
"LUGIA","Ultimate",5,2,3,8,9,"Smash Season Fest: Smash Heat, Smash N' Magic, Smash Season Fest: Falling Leaves, Battle Of Hyrule, Try Hard Smash in Rio #1"
"Mimok","Roboto",5,4,1,12,10,"Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Smash N' Magic - 3rd Edition, Smash N' Magic - 3rd Edition, Set Fire 3"
"RevoS","Roboto",5,4,1,10,3,"Smash Season Fest: Smash Heat, Smash Heat 2, Smash Heat 2, Smash N' Magic, Smash N' Magic - 2nd Edition"
"Afro","BeBop",4,0,4,2,10,"Koopa Armada, Smash n' Magic - 4th Edition, Smash n' Magic - 5th Edition, Set Fire 3"
"Afro","S/Chance",4,4,0,8,2,"Twilight's Awakening, Battle Of Hyrule, Smash n' Magic - 4th Edition, Set Fire 3"
"Amortax","RevoS",4,0,4,2,11,"Twilight's Awakening, Try Hard Smash in Rio #1, Try Hard Smash in Rio #2, Try Hard Smash in Rio #5"
"BeBop","Maleson",4,2,2,6,4,"Smash N' Magic, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Smash N' Magic - 3rd Edition"
"FireEmblem","RevoS",4,0,4,2,10,"Twilight's Awakening, Try Hard Smash in Rio #4, Set Fire 3, TwS - Fire Temple"
"FireEmblem","Ultimate",4,0,4,1,10,"Fight in Rio for the Future, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #2, TwS - Forest Temple"
"Fy","Haxwei",4,0,4,1,9,"Smash N' Magic - 3rd Edition, Try Hard Smash in Rio #3, Try Hard Smash in Rio #4, Beer Reversal #12 - Primeiro de 2020!"
"Haxwei","Joaoarara",4,2,2,6,5,"Smash Season Fest: Smash Heat, Smash N' Magic - 3rd Edition, TORNEIO LEGAL, Beer Reversal #12 - Primeiro de 2020!"
"Haxwei","Luffy",4,0,4,3,10,"Smash Season Fest: Falling Leaves, Twilight's Awakening, TORNEIO LEGAL, TORNEIO LEGAL"
"Haxwei","RevoS",4,0,4,1,10,"Smash N' Magic - 3rd Edition, Try Hard Smash in Rio #3, Try Hard Smash in Rio #4, Beer Reversal #12 - Primeiro de 2020!"
"Haxwei","Ultimate",4,1,3,3,7,"Smash Season Fest: Falling Leaves, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #3, Try Hard Smash in Rio #4"
"Luffy","Ultimate",4,4,0,12,2,"Koopa Armada, Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves, Twilight's Awakening"
"Mimok","RevoS",4,3,1,8,7,"Smash Season Fest: Smash Heat, Twilight's Awakening, Smash N' Magic - 3rd Edition, Smash N' Magic - 3rd Edition"
"Mimok","Ultimate",4,3,1,8,5,"Smash Heat 2, Fight in Rio for the Future, Smash n' Magic - 4th Edition, Try Hard Smash in Rio #1"
"Mimok","Vyse",4,4,0,8,3,"Smash Season Fest: Smash Heat, Twilight's Awakening, Fight in Rio for the Future, Set Fire 3"
"Roboto","Sabino",4,3,1,9,4,"Smash Season Fest: Smash Heat, Smash Heat 2, Fight in Rio for the Future, Smash n' Magic - 5th Edition"
"Sabino","Ultimate",4,3,1,8,7,"Smash Season Fest: Falling Leaves, Smash Season Fest: Falling Leaves, Smash n' Magic - 5th Edition, TwS - Fire Temple"
"Ace","FireEmblem",3,0,3,1,6,"Smash n' Magic - 5th Edition, Set Fire 3, TwS - Fire Temple"
"Afro","FR7",3,3,0,6,1,"Smash N' Magic - 2nd Edition, Twilight's Awakening, Smash n' Magic - 4th Edition"
"Afro","RevoS",3,0,3,1,8,"Battle Of Hyrule, Beer Reversal #12 - Primeiro de 2020!, Beer Reversal #12 - Primeiro de 2020!"
"Amortax","Ihmo",3,2,1,6,5,"Fight in Rio for the Future, TwS - Forest Temple, Try Hard Smash in Rio #5"
"Amortax","Luffy",3,0,3,1,6,"Smash Season Fest: Falling Leaves, Twilight's Awakening, Smash n' Magic - 5th Edition"
"Amortax","Sabino",3,1,2,4,5,"Smash Season Fest: Falling Leaves, Smash n' Magic - 4th Edition, TwS - Forest Temple"
"Arch","Haxwei",3,1,2,5,6,"Try Hard Smash in Rio #1, Set Fire 3, Set Fire 3"
"BeBop","RevoS",3,0,3,1,8,"Smash Heat 2, Smash N' Magic - 3rd Edition, Smash n' Magic - 5th Edition"
"BeBop","Sabino",3,0,3,1,6,"Smash N' Magic - 3rd Edition, Battle Of Hyrule, Smash n' Magic - 5th Edition"
"BeBop","Vyse",3,2,1,4,4,"Smash Season Fest: Smash Heat, Smash N' Magic - 3rd Edition, Smash n' Magic - 4th Edition"
"Chino","Haxwei",3,1,2,3,5,"Twilight's Awakening, Battle Of Hyrule, Try Hard Smash in Rio #2"
"Chino","Naty",3,3,0,6,0,"Smash N' Magic - 2nd Edition, Smash n' Magic - 4th Edition, Smash n' Magic - 4th Edition"
"Chino","Ultimate",3,0,3,1,6,"Twilight's Awakening, Smash N' Magic - 3rd Edition, Smash n' Magic - 4th Edition"
"Considera","Ihmo",3,0,3,1,6,"Fight in Rio for the Future, TwS - Forest Temple, TwS - Fire Temple"
"Elias","RevoS",3,0,3,1,6,"Smash Season Fest: Smash Heat, Smash Season Fest: Falling Leaves, Try Hard Smash in Rio #4"
"FireEmblem","LUGIA",3,2,1,5,3,"Smash n' Magic - 4th Edition, TwS - Forest Temple, TwS - Forest Temple"
"FireEmblem","Mick",3,3,0,6,1,"Smash N' Magic - 3rd Edition, Smash n' Magic - 5th Edition, TwS - Fire Temple"
"FireEmblem","Mimok",3,2,1,4,2,"Fight in Rio for the Future, Try Hard Smash in Rio #2, Set Fire 3"
"FireEmblem","Sabino",3,0,3,2,9,"TORNEIO LEGAL, Set Fire 3, TwS - Fire Temple"
"FR7","Haxwei",3,0,3,0,6,"Smash n' Magic - 5th Edition, Set Fire 3, TwS - Fire Temple"
"Haxwei","Roboto",3,1,2,3,5,"Smash N' Magic, Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves"
"Haxwei","S/Chance",3,2,1,4,2,"Smash N' Magic, Smash N' Magic - 2nd Edition, Smash N' Magic - 3rd Edition"
"Haxwei","Sully",3,3,0,6,0,"Smash Season Fest: Falling Leaves, Set Fire 3, Beer Reversal #12 - Primeiro de 2020!"
"Ihmo","Luffy",3,0,3,1,6,"Battle Of Hyrule, TwS - Forest Temple, TwS - Fire Temple"
"Joaoarara","Roboto",3,0,3,1,8,"Smash Season Fest: Smash Heat, Smash n' Magic - 5th Edition, Set Fire 3"
"Luffy","Maleson",3,3,0,7,2,"Smash n' Magic - 5th Edition, TwS - Forest Temple, TORNEIO LEGAL"
"Luffy","Player 7",3,2,1,8,5,"Fight in Rio for the Future, Fight in Rio for the Future, Fight in Rio for the Future"
"Luffy","Sabino",3,3,0,9,5,"TORNEIO LEGAL, Set Fire 3, TwS - Fire Temple"
"Maleson","Mimok",3,0,3,0,6,"Smash Heat 2, Twilight's Awakening, Smash n' Magic - 4th Edition"
"Maleson","RevoS",3,0,3,0,6,"Smash N' Magic, Smash N' Magic - 2nd Edition, Set Fire 3"
"Maleson","Ultimate",3,0,3,3,8,"Koopa Armada, Koopa Armada, Smash Season Fest: Falling Leaves"
"Mick","Ultimate",3,0,3,0,6,"Twilight's Awakening, Fight in Rio for the Future, TwS - Forest Temple"
"Mimok","Sabino",3,0,3,1,7,"Smash Season Fest: Smash Heat, Smash Heat 2, Set Fire 3"
"Ozzy","S/Chance",3,0,3,0,6,"Smash N' Magic, Smash N' Magic - 3rd Edition, Smash n' Magic - 4th Edition"
"Ozzy","Ultimate",3,0,3,0,6,"Smash Season Fest: Falling Leaves, Fight in Rio for the Future, Try Hard Smash in Rio #3"
"Roboto","Ultimate",3,1,2,3,5,"Smash N' Magic, Smash N' Magic - 2nd Edition, Smash N' Magic - 3rd Edition"
"Sosser","Ultimate",3,1,2,5,5,"Koopa Armada, Twilight's Awakening, Twilight's Awakening"
"Ace","Alonso",2,2,0,4,1,"Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves"
"Ace","Ihmo",2,0,2,0,4,"Battle Of Hyrule, TwS - Fire Temple"
"Ace","Ozzy",2,2,0,4,0,"Battle Of Hyrule, Smash n' Magic - 4th Edition"
"Ace","Sabino",2,0,2,0,4,"Smash Season Fest: Smash Heat, Smash N' Magic - 3rd Edition"
"Ace","Sully",2,2,0,4,0,"Smash Season Fest: Smash Heat, Smash n' Magic - 5th Edition"
"Ace","Vyse",2,0,2,0,4,"Battle Of Hyrule, Smash n' Magic - 4th Edition"
"Afro","Amortax",2,1,1,2,3,"Twilight's Awakening, Smash n' Magic - 4th Edition"
"Afro","DJ",2,0,2,0,4,"Smash N' Magic, Smash N' Magic - 3rd Edition"
"Afro","Haxwei",2,0,2,1,5,"TORNEIO LEGAL, Set Fire 3"
"Afro","LUGIA",2,0,2,1,4,"Smash Heat 2, Smash N' Magic"
"Alonso","Polon",2,1,1,2,2,"Smash N' Magic, Battle Of Hyrule"
"Amortax","Arch",2,2,0,5,0,"Smash Season Fest: Falling Leaves, Twilight's Awakening"
"Amortax","BeBop",2,0,2,1,5,"Smash Heat 2, Smash n' Magic - 5th Edition"
"Amortax","Burtão",2,2,0,4,0,"Smash Season Fest: Smash Heat, Try Hard Smash in Rio #2"
"Amortax","Considera",2,2,0,4,0,"Twilight's Awakening, Fight in Rio for the Future"
"Amortax","FireEmblem",2,2,0,5,1,"Battle Of Hyrule, Try Hard Smash in Rio #2"
"Amortax","Mimok",2,2,0,4,1,"Fight in Rio for the Future, Try Hard Smash in Rio #5"
"Anubis570","Mimok",2,0,2,0,4,"TwS - Forest Temple, Try Hard Smash in Rio #5"
"Anubis570","Vyse",2,0,2,0,4,"Twilight's Awakening, Battle Of Hyrule"
"Arch","ChaosPrime",2,1,1,2,2,"Smash N' Magic, Twilight's Awakening"
"Arch","Dypherius",2,2,0,4,1,"Battle Of Hyrule, TwS - Fire Temple"
"Arch","LUGIA",2,0,2,0,4,"Smash Season Fest: Falling Leaves, TwS - Forest Temple"
"Arch","RevoS",2,0,2,0,4,"Try Hard Smash in Rio #1, Smash n' Magic - 5th Edition"
"Arch","Roboto",2,0,2,0,4,"Smash Season Fest: Smash Heat, Smash N' Magic - 3rd Edition"
"Arch","Sabino",2,0,2,0,4,"Set Fire 3, TwS - Fire Temple"
"BeBop","Floko",2,2,0,5,1,"Battle Of Hyrule, Smash n' Magic - 4th Edition"
"BeBop","Fy",2,2,0,5,0,"Smash N' Magic - 2nd Edition, Set Fire 3"
"BeBop","LUGIA",2,1,1,3,4,"Smash n' Magic - 4th Edition, Smash n' Magic - 5th Edition"
"BeBop","Naty",2,2,0,4,1,"Smash N' Magic - 2nd Edition, Fight in Rio for the Future"
"BeBop","S/Chance",2,0,2,0,4,"Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves"
"BeBop","Sosser",2,0,2,3,5,"Koopa Armada, Battle Of Hyrule"
"BeBop","Sully",2,2,0,4,0,"Fight in Rio for the Future, Smash n' Magic - 4th Edition"
"BeBop","Ultimate",2,1,1,2,3,"Koopa Armada, Battle Of Hyrule"
"Bent","Maleson",2,2,0,4,0,"Smash Season Fest: Smash Heat, Smash Heat 2"
"Bent","Roboto",2,0,2,0,5,"Smash Heat 2, Smash Heat 2"
"Burtão","Elias",2,0,2,1,4,"Koopa Armada, Koopa Armada"
"Burtão","RoD",2,2,0,4,2,"Koopa Armada, Try Hard Smash in Rio #5"
"ChaosPrime","Considera",2,2,0,4,1,"Twilight's Awakening, Battle Of Hyrule"
"ChaosPrime","Cyber Twilight",2,0,2,0,4,"Smash N' Magic, Smash N' Magic - 3rd Edition"
"ChaosPrime","Haxwei",2,0,2,1,4,"Twilight's Awakening, TwS - Fire Temple"
"ChaosPrime","mysterE",2,1,1,3,2,"Smash N' Magic - 2nd Edition, Smash N' Magic - 2nd Edition"
"ChaosPrime","Ultimate",2,0,2,0,4,"Smash Heat 2, TwS - Fire Temple"
"Chino","FireEmblem",2,0,2,3,5,"Smash N' Magic - 3rd Edition, Try Hard Smash in Rio #2"
"Chino","FR7",2,2,0,4,0,"Fight in Rio for the Future, Try Hard Smash in Rio #5"
"Chino","PROGETO",2,0,2,3,5,"Try Hard Smash in Rio #5, Try Hard Smash in Rio #5"
"Chino","Rhunii",2,2,0,4,1,"Fight in Rio for the Future, Smash N' Magic - 3rd Edition"
"Chino","Sabino",2,1,1,2,2,"Fight in Rio for the Future, Smash n' Magic - 4th Edition"
"Cyber Twilight","FR7",2,2,0,4,0,"Smash N' Magic - 3rd Edition, Smash n' Magic - 4th Edition"
"DJ","FireEmblem",2,0,2,0,4,"Try Hard Smash in Rio #2, Try Hard Smash in Rio #4"
"Djudjo","S/Chance",2,2,0,4,0,"Smash N' Magic - 2nd Edition, Smash n' Magic - 5th Edition"
"Dr. Lemos","Roboto",2,1,1,2,3,"Koopa Armada, Smash Heat 2"
"Dr. Lemos","Sky",2,0,2,0,4,"Koopa Armada, Smash Season Fest: Smash Heat"
"Drutar","Naval",2,0,2,0,4,"Smash N' Magic, Smash N' Magic"
"DSK","Dypherius",2,0,2,0,4,"Try Hard Smash in Rio #1, Try Hard Smash in Rio #5"
"Dypherius","Luckstorm",2,0,2,0,4,"Try Hard Smash in Rio #1, Try Hard Smash in Rio #5"
"Elias","Floko",2,1,1,2,2,"Fight in Rio for the Future, Fight in Rio for the Future"
"Elias","Haxwei",2,0,2,2,5,"Smash Season Fest: Smash Heat, Try Hard Smash in Rio #4"
"Elias","Maleson",2,1,1,2,2,"Smash Season Fest: Falling Leaves, Fight in Rio for the Future"
"FireEmblem","Luffy",2,0,2,1,5,"Smash n' Magic - 5th Edition, TwS - Forest Temple"
"FireEmblem","Roboto",2,1,1,2,2,"Smash N' Magic - 3rd Edition, Set Fire 3"
"FireEmblem","Vyse",2,1,1,3,2,"Twilight's Awakening, Fight in Rio for the Future"
"Floko","RevoS",2,1,1,2,4,"Smash N' Magic, Smash N' Magic"
"Floko","Sky",2,0,2,0,5,"Koopa Armada, Battle Of Hyrule"
"FR7","Fy",2,0,2,1,4,"Try Hard Smash in Rio #3, Try Hard Smash in Rio #5"
"FR7","Mick",2,2,0,4,0,"Try Hard Smash in Rio #1, Try Hard Smash in Rio #3"
"FR7","Ozzy",2,1,1,3,3,"Try Hard Smash in Rio #3, TwS - Fire Temple"
"FR7","RoD",2,2,0,4,0,"Smash n' Magic - 4th Edition, Set Fire 3"
"FR7","S/Chance",2,0,2,0,4,"Smash Season Fest: Falling Leaves, Battle Of Hyrule"
"FR7","Sabino",2,0,2,0,4,"Smash Season Fest: Falling Leaves, Fight in Rio for the Future"
"FR7","Strig",2,2,0,4,0,"Fight in Rio for the Future, Battle Of Hyrule"
"Fy","GUCCI",2,1,1,2,3,"Twilight's Awakening, Try Hard Smash in Rio #5"
"Fy","LUGIA",2,0,2,0,4,"Smash n' Magic - 4th Edition, Try Hard Smash in Rio #1"
"Fy","Ozzy",2,1,1,2,2,"Smash N' Magic - 2nd Edition, Beer Reversal #12 - Primeiro de 2020!"
"Fy","S/Chance",2,1,1,2,3,"Smash N' Magic, Set Fire 3"
"Fy","Sabino",2,0,2,0,4,"Smash n' Magic - 4th Edition, Set Fire 3"
"Fy","Vyse",2,1,1,3,3,"Try Hard Smash in Rio #1, Try Hard Smash in Rio #4"
"Gim","Minus",2,0,2,2,4,"Smash Season Fest: Smash Heat, Smash n' Magic - 4th Edition"
"Gim","Ozzy",2,2,0,4,1,"Smash Season Fest: Smash Heat, Smash N' Magic - 2nd Edition"
"Gim","Roc~",2,0,2,1,4,"Smash Heat 2, Smash N' Magic - 3rd Edition"
"Gim","RoD",2,1,1,2,2,"Koopa Armada, Set Fire 3"
"Gim","ThiFesta",2,2,0,4,1,"Smash Heat 2, Twilight's Awakening"
"Golfinho","Maleson",2,1,1,2,3,"Smash N' Magic - 2nd Edition, Smash N' Magic - 2nd Edition"
"GUCCI","Mimok",2,0,2,0,4,"Try Hard Smash in Rio #2, Try Hard Smash in Rio #5"
"GUCCI","Morkez",2,1,1,2,3,"Smash N' Magic - 3rd Edition, Try Hard Smash in Rio #5"
"GUCCI","Sully",2,2,0,4,1,"Smash N' Magic - 2nd Edition, Try Hard Smash in Rio #5"
"Guizo","RevoS",2,0,2,0,4,"Smash N' Magic - 2nd Edition, Smash N' Magic - 3rd Edition"
"Haxwei","Lou",2,2,0,4,0,"Battle Of Hyrule, Try Hard Smash in Rio #3"
"Haxwei","Naval",2,1,1,3,3,"Smash N' Magic, TwS - Fire Temple"
"Haxwei","Ramon",2,2,0,4,1,"Smash N' Magic, Smash N' Magic"
"Haxwei","RoD",2,2,0,4,0,"Try Hard Smash in Rio #2, Try Hard Smash in Rio #4"
"Haxwei","Sabino",2,0,2,1,4,"Smash Season Fest: Smash Heat, Battle Of Hyrule"
"Haxwei","Sky",2,0,2,1,4,"Twilight's Awakening, TwS - Fire Temple"
"Haxwei","ThiFesta",2,2,0,4,0,"Smash Season Fest: Smash Heat, Try Hard Smash in Rio #1"
"Ihmo","LUGIA",2,0,2,0,4,"Smash Heat 2, Twilight's Awakening"
"Ihmo","Mick",2,2,0,4,0,"Fight in Rio for the Future, Try Hard Smash in Rio #1"
"Ihmo","mysterE",2,1,1,3,3,"Twilight's Awakening, Battle Of Hyrule"
"Ihmo","Nenfz",2,2,0,4,1,"Battle Of Hyrule, Battle Of Hyrule"
"Ihmo","Roboto",2,0,2,1,4,"Smash Season Fest: Smash Heat, Smash Season Fest: Falling Leaves"
"Ihmo","Sabino",2,0,2,1,5,"Smash Heat 2, TwS - Fire Temple"
"Ihmo","Ultimate",2,2,0,6,3,"Try Hard Smash in Rio #4, TwS - Fire Temple"
"Jaycee","RitsuoFox",2,1,1,2,2,"Fight in Rio for the Future, Fight in Rio for the Future"
"JBB","Joaoarara",2,1,1,2,2,"Smash N' Magic - 2nd Edition, Battle Of Hyrule"
"Joaoarara","Luffy",2,0,2,0,4,"Battle Of Hyrule, Smash n' Magic - 4th Edition"
"Joaoarara","Maleson",2,1,1,2,3,"Smash n' Magic - 4th Edition, TORNEIO LEGAL"
"Joaoarara","Mick",2,2,0,4,0,"Smash n' Magic - 4th Edition, Set Fire 3"
"Joaoarara","RoD",2,2,0,4,0,"Smash Season Fest: Smash Heat, Smash N' Magic"
"Joaoarara","Strig",2,2,0,4,0,"Twilight's Awakening, Smash N' Magic - 3rd Edition"
"Joaoarara","Ultimate",2,0,2,1,4,"Smash N' Magic - 3rd Edition, TwS - Fire Temple"
"LCS","RevoS",2,0,2,0,4,"Battle Of Hyrule, Set Fire 3"
"LeoDT","Ozzy",2,1,1,2,2,"Smash Heat 2, Smash N' Magic"
"Luckstorm","Ozzy",2,0,2,0,4,"Smash N' Magic - 3rd Edition, Try Hard Smash in Rio #5"
"Luffy","Naval",2,2,0,5,0,"TORNEIO LEGAL, TwS - Fire Temple"
"Luffy","RitsuoFox",2,2,0,5,0,"Smash n' Magic - 4th Edition, Try Hard Smash in Rio #1"
"Luffy","Sosser",2,2,0,6,2,"Koopa Armada, Battle Of Hyrule"
"LUGIA","Mimok",2,2,0,5,1,"Smash n' Magic - 4th Edition, TwS - Forest Temple"
"LUGIA","Roboto",2,0,2,2,4,"Smash Season Fest: Smash Heat, Smash n' Magic - 5th Edition"
"LUGIA","RoD",2,2,0,4,0,"Twilight's Awakening, Smash n' Magic - 5th Edition"
"LUGIA","Sky",2,2,0,4,0,"Twilight's Awakening, TwS - Forest Temple"
"LUGIA","Sosser",2,1,1,4,3,"Battle Of Hyrule, Battle Of Hyrule"
"Maleson","Mick",2,2,0,4,0,"Smash Season Fest: Falling Leaves, Smash n' Magic - 5th Edition"
"Maleson","Minus",2,2,0,4,1,"Smash Season Fest: Smash Heat, Smash n' Magic - 4th Edition"
"Maleson","Proliel",2,1,1,3,3,"Fight in Rio for the Future, Try Hard Smash in Rio #1"
"Maleson","Sabino",2,1,1,3,4,"Koopa Armada, TwS - Forest Temple"
"Maleson","Sully",2,2,0,4,0,"Smash Season Fest: Falling Leaves, Try Hard Smash in Rio #1"
"Maleson","Zord",2,2,0,4,0,"Koopa Armada, Koopa Armada"
"Mathe100","Ozzy",2,0,2,1,4,"Try Hard Smash in Rio #2, TwS - Fire Temple"
"Maycky","Ultimate",2,0,2,0,4,"Koopa Armada, Smash N' Magic - 2nd Edition"
"Mick","Naty",2,0,2,1,4,"Smash N' Magic, Smash n' Magic - 4th Edition"
"Mick","RoD",2,2,0,4,1,"Smash Season Fest: Falling Leaves, Try Hard Smash in Rio #3"
"Miguelindo","Ultimate",2,0,2,0,4,"Smash n' Magic - 4th Edition, Try Hard Smash in Rio #1"
"Mimok","mysterE",2,1,1,4,4,"Smash N' Magic - 2nd Edition, Fight in Rio for the Future"
"Mimok","Ozzy",2,2,0,4,1,"Fight in Rio for the Future, Smash N' Magic - 3rd Edition"
"Mimok","Sky",2,0,2,0,5,"Smash Season Fest: Smash Heat, Fight in Rio for the Future"
"Morkez","Sully",2,2,0,4,0,"Battle Of Hyrule, Try Hard Smash in Rio #1"
"mysterE","S/Chance",2,1,1,2,2,"Twilight's Awakening, Battle Of Hyrule"
"Naval","Rates",2,2,0,4,0,"Smash Heat 2, TwS - Fire Temple"
"Ozzy","RevoS",2,0,2,0,4,"Twilight's Awakening, Try Hard Smash in Rio #5"
"Ozzy","RoD",2,1,1,2,3,"Smash Heat 2, Try Hard Smash in Rio #2"
"Ozzy","Sky",2,0,2,1,4,"Smash N' Magic, TwS - Forest Temple"
"Player 7","Sky",2,2,0,6,1,"Fight in Rio for the Future, Fight in Rio for the Future"
"RevoS","Sosser",2,1,1,4,3,"Twilight's Awakening, Battle Of Hyrule"
"RevoS","Sully",2,2,0,4,0,"Try Hard Smash in Rio #3, TwS - Fire Temple"
"Rhunii","Sully",2,2,0,4,0,"Smash N' Magic - 3rd Edition, Smash n' Magic - 4th Edition"
"Roboto","Roc~",2,2,0,5,2,"Smash Season Fest: Smash Heat, Smash Heat 2"
"Roc~","Sabino",2,1,1,3,3,"Smash Season Fest: Smash Heat, Battle Of Hyrule"
"Roc~","Sky",2,0,2,0,5,"Smash Season Fest: Smash Heat, Smash N' Magic - 3rd Edition"
"Sabino","Sosser",2,0,2,0,5,"Koopa Armada, Battle Of Hyrule"
"Simic","Sky",2,0,2,0,4,"Smash Season Fest: Smash Heat, Smash N' Magic - 2nd Edition"
"Simic","Ultimate",2,0,2,1,4,"Smash Heat 2, Smash N' Magic"
"Sky","Sosser",2,0,2,0,5,"Twilight's Awakening, Battle Of Hyrule"
"Sully","ThiFesta",2,1,1,3,3,"Try Hard Smash in Rio #3, Try Hard Smash in Rio #5"
"Ultimate","Vyse",2,2,0,4,1,"Smash n' Magic - 4th Edition, Try Hard Smash in Rio #1"
"23","CebolaTostada",1,0,1,0,2,"TwS - Forest Temple"
"23","mysterE",1,0,1,0,2,"Fight in Rio for the Future"
"23","RitsuoFox",1,0,1,0,2,"Fight in Rio for the Future"
"23","Ultimate",1,0,1,0,2,"TwS - Forest Temple"
"Abaca","BeBop",1,0,1,2,3,"Koopa Armada"
"Abaca","BrunoLana",1,1,0,2,1,"Koopa Armada"
"Abaca","Floko",1,1,0,3,1,"Koopa Armada"
"Abaca","KD",1,1,0,2,0,"Koopa Armada"
"Abaca","Luma",1,1,0,2,0,"Koopa Armada"
"Abaca","Mini Roc",1,1,0,2,0,"Koopa Armada"
"Abaca","Monad0",1,1,0,2,0,"Koopa Armada"
"Abaca","Roc~",1,1,0,3,0,"Koopa Armada"
"Abaca","Sonic Orochi",1,1,0,2,0,"Koopa Armada"
"Abaca","Sosser",1,0,1,0,2,"Koopa Armada"
"Ace","Alunir",1,1,0,2,0,"Fight in Rio for the Future"
"Ace","Amortax",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Ace","Arch",1,1,0,2,1,"TwS - Fire Temple"
"Ace","ChaosPrime",1,0,1,1,2,"Smash N' Magic"
"Ace","Chaud",1,0,1,0,2,"Fight in Rio for the Future"
"Ace","Chino",1,0,1,1,2,"Fight in Rio for the Future"
"Ace","Dark Fox",1,0,1,0,2,"Smash n' Magic - 4th Edition"
